"Variable","Topic_Number","Subtopic","Subtopic_Number","EditFlag","Description","Instrument_Variable_Name","Imputation_Strategy","table_name","Availability","Survey Year","Topic","Updated Universe","Disclosure","User Notes","Question","Variable_Number","TYPE","Present_in_Survey_Years","Associated Response Codes"
"TPBPAI","19","Purchase","3","NA","Unit tested for lead paint before purchase",,"Coming Soon","NEWHOUSE(2013,2011,2009,2007,2005,2004,2003,2002,2001); HOUSHLD(1999,1997)","PUF","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1997","Lead Based Paint",,,,"When ... bought this housing unit, did anyone make inquiries or have this housing unit inspected or tested for lead-based paint?",4,"Character","2013;2011;2009;2007;2005;2004;2003;2002;2001;1999;1997","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"EVRTES","19","Testing","4","NA","Unit ever tested for lead paint",,"Coming Soon","HOUSHLD","PUF","1999;1997","Lead Based Paint",,,"Information on [Unit was built before the year after the survey] is not available on the public use file.","Prior to your living here, was this housing unit EVER tested for lead in the paint?",1,,"1999;1997","1: Yes, tested||2: No, never tested||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"LDTEST","19","Testing","4","NA","Unit tested for lead paint",,"Coming Soon","HOUSHLD","PUF","1999;1997","Lead Based Paint",,,"Information on [Unit was built before the year after the survey] is not available on the public use file.","Since you have lived here, has this housing unit been tested for lead in the paint?",2,,"1999;1997","1: Yes, tested||2: No, never tested||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"COMDAYS","20","General","1","JCOMDAYS","Number of days (per week) the respondent commutes to work","COMDAYS","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","INTSTATUS = '1' and SPLITSAMP = '1' and RESPONDENT = '1' and INCWORK = '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","How many days do you leave your home to go to work in a typical week?",1,"Numeric","2017","0 : 7: 0 to 7 days||M or -9: Not reported||N or -6: Not applicable"
"COMTYPE","20","General","1","JCOMTYPE","Flag indicating mode(s) of transportation used to commute to work","NA","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (0:7 .M)","None","COMTYPE is determined using COMDAYS , DRIVEALL, DRIVEPART, COMPANYCAR , CARPOOL, SUBWAY, BUS, VAN, TAXI, FERRY, WALK, and BIKE. This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","NA",2,"Character","2017","0: Does not commute||1: Drives all the way to work only||2: Uses public transportation only||3: Uses more than one mode of transportation||4: Carpools to work||5: Drives company vehicle to work||6: Walks or bikes to work only||M or -9: Not reported||N or -6: Not applicable"
"COMCOST","20","General","1","JCOMCOST","Total annual commuting cost","NA","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMTYPE in ('1' '2' '3' '4' '5' '6' 'M')","Topcoded","COMCOST is calculated using COMDAYS , DRIVEALL, CARPOOL, POOLAMT, DIST, PARKING, TOLL, TRANAMT, TAXI, FERRY, and COMTYPE. This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","NA",3,"Numeric","2017","0 : 999998: $0 to $999,998||M or -9: Not reported||N or -6: Not applicable"
"WALK","20","General","1","JWALK","Flag indicating walk to work","WALK","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","In a typical week, do you walk from home all the way to work?",4,"Character","2017","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"BIKE","20","General","1","JBIKE","Flag indicating bike to work","BIKE","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","In a typical week, do you bike from home all the way to work?",5,"Character","2017","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"HKDAMGAS","20","Cost (New Orleans Variables)","1","NA","Received insurance or financial aid",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did the owner receive insurance or financial assistance in order to rebuild or repair the home?",6,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKDAMGY5","20","Cost (New Orleans Variables)","1","NA","Cost of Hurricane Katrina-related construction",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"How much did or will the construction cost?",7,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:9999998: $0-$9999998||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKFEDFIN","20","Cost (New Orleans Variables)","1","NA","Received Federal financial assistance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received Federal financial assistance",8,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKFEDFL","20","Cost (New Orleans Variables)","1","NA","Owner has Federal flood insurance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Does the owner now have Federal flood insurance?",9,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKFEDFLOOD","20","Cost (New Orleans Variables)","1","NA","Received Federal flood insurance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received Federal flood insurance",10,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKHOMEOWN","20","Cost (New Orleans Variables)","1","NA","Received Homeowner's insurance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received Homeowner's insurance",11,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKOTHAST","20","Cost (New Orleans Variables)","1","NA","Received other financial assistance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received other financial assistance",12,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKPRIVCHAR","20","Cost (New Orleans Variables)","1","NA","Received Private/Charitable financial assistance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received Private or charitable financial assistance",13,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKRAC","20","Cost (New Orleans Variables)","1","NA","Cost of alterations/repairs performed due to Hurricane Katrina damage",,"Coming Soon","NEWHOUSE","PUF","2011 New Orleans Only;2009 New Orleans Only","New Orleans Variables",,,"Component variables were topcoded before creating this variable. As each component variable was topcoded individually, the number of cases topcoded for each component variable and the level at which they were topcoded varies.",,14,"Numeric","2011 New Orleans Only;2009 New Orleans Only","0:999999: $0-$999,999||B or -6: Not applicable"
"HKRDHOME","20","Cost (New Orleans Variables)","1","NA","Received Road Home grant",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received a Road Home grant",15,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKRPCST","20","Cost (New Orleans Variables)","1","NA","Cost of Hurricane-Katrina related repairs",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated cost of repairs?",16,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:9999998: $0-$9999998||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKSTATEFIN","20","Cost (New Orleans Variables)","1","NA","Received State financial assistance",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"The respondent/owner received State financial assistance",17,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"DRIVEALL","20","Vehicle","2","JDRIVEALL","Number of days (per week) the respondent drives all the way to work","DRIVESELF","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M)","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","In a typical work week, how many days do you drive from home ALL the way to work?",1,"Numeric","2017","0 : 7: 0 to 7 days||M or -9: Not reported||N or -6: Not applicable"
"DIST","20","Vehicle","2","JDIST","Round trip commute distance","DIST","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","DRIVEALL in (1:7) or DRIVEPART in ('1' 'M') or (DRIVEALL = .M and DRIVEPART = '2' and COMPANYCAR = '1')","Collapsed","For disclosure reasons DIST is a categorical value; internal data users may want to use DIST_IUF. This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","On a typical day, approximately how many ROUND TRIP miles do you drive VEHICLE for your commute?",2,"Numeric","2017","2: 1 to 2 miles||4: 3 to 4 miles||6: 5 to 6 miles||8: 7 to 8 miles||10: 9 to 10 miles||12: 11 to 12 miles||14: 13 to 14 miles||16: 15 to 16 miles||18: 17 to 18 miles||20: 19 to 24 miles||30: 25 to 34 miles||40: 35 to 44 miles||50: 45 to 54 miles||60: 55 to 64 miles||70: 65 to 74 miles||80: 75 to 84 miles||90: 85 to 94 miles||100: 95 miles or more||M or -9: Not reported||N or -6: Not applicable"
"DIST_IUF","20","Vehicle","2","JDIST_IUF","Round trip commute distance","DIST","Coming Soon","HOUSEHOLD","IUF Only","2017","Commuting","DRIVEALL in (1:7) or DRIVEPART in ('1' 'M') or (DRIVEALL = .M and DRIVEPART = '2' and COMPANYCAR = '1')","None","DIST_IUF is only present on the IUF. This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","On a typical day, approximately how many ROUND TRIP miles do you drive VEHICLE for your commute?",3,"Numeric","2017","1 : 998: 1 to 998||M or -9: Not reported||N or -6: Not applicable"
"DRIVEPART","20","Vehicle","2","JDRIVEPART","Flag indicating own vehicle used for part of commute","DRIVEOTH","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and DRIVEALL in (0 .M)","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","Do you drive your own vehicle for a portion of your commute?",4,"Character","2017","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"COMPANYCAR","20","Vehicle","2","JCOMPANYCAR","Flag indicating company vehicle used for commute","DRIVEOWN","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and DRIVEALL in (1:7 .M)","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","In a typical work week, do you drive a company vehicle that you take home for personal use?",5,"Character","2017","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable"
"CARPOOL","20","Vehicle","2","JCARPOOL","Flag indicating carpool use and number of people in the carpool","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","Collapsed/Topcoded","CARPOOL is determined using CARPOOL (In a typical work week, do you carpool to work?) and POOLNUM (How many people are typically in your carpool?). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",6,"Numeric","2017","0: Does not carpool||2 : 4: 2 to 4 people||5: 5 or more people||M or -9: Not reported||N or -6: Not applicable"
"POOLAMT","20","Vehicle","2","JPOOLAMT","Amount of carpool expenses","POOLAMT","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","CARPOOL in (2:5)","Rounded/Topcoded","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","What is your typical weekly carpool fee?",7,"Numeric","2017","0 : 998: $0 to $998||M or -9: Not reported||N or -6: Not applicable"
"PARKING","20","Vehicle","2","JPARKING","Amount of parking expenses","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1' and DIST in (1 : 998 .M)","Rounded/Topcoded","PARKING is determined using PARKCOST (During your commute, do you pay for parking?) and PARKAMT (How much do you spend on parking in a typical week?). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",8,"Numeric","2017","0: Does not pay for parking||1 : 998: $1 to $998||M or -9: Not reported||N or -6: Not applicable"
"TOLL","20","Vehicle","2","JTOLL","Amount of toll expenses","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1' and DIST in (1 : 998 .M)","Rounded/Topcoded","TOLL is determined using TOLLCOST (During your commute, do you pay a toll to use a road?) and TOLLAMT (How much per week?). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",9,"Numeric","2017","0: Does not pay a toll||1 : 998: $1 to $998||M or -9: Not reported||N or -6: Not applicable"
"HKDAMGUN","20","Interim housing","2","NA","Trailer/RV/other used as housing unit",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Is there currently a manufactured/mobile home, travel trailer, RV, or other structure used for housing on this property?",10,"Character","2009 New Orleans Only","1: Manufactured/mobile home||2: Travel Trailer or RV||3: Other||4: None||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKHOME","20","Interim housing","2","NA","Lived in a house or apartment due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a house or apartment for more than two weeks as a result of Hurricane Katrina",11,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKHOTEL","20","Interim housing","2","NA","Lived in a hotel, motel, or cruise ship due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a room in a hotel, motel, or cruise ship for more than two weeks as a result of Hurricane Katrina",12,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKMH","20","Interim housing","2","NA","Lived in a manufactured/mobile home due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a manufactured/mobile home for more than two weeks as a result of Hurricane Katrina",13,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKMOVR","20","Interim housing","2","NA","Forced to move because of Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did the owner have to move from his/her residence for more than two weeks as a result of Hurricane Katrina?",14,"Numeric","2009 New Orleans Only",". or -9: Not reported||1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKNUMR","20","Interim housing","2","NA","Number of residences since Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"How many different places has the owner lived for more than two weeks since Hurricane Katrina, including his/her current residence? Do not count vacations or short-term trips.",15,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:10: 0-10||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKOTHER","20","Interim housing","2","NA","Lived in some other type of residence due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in some other type of residence for more than two weeks as a result of Hurricane Katrina",16,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKPEPDNK","20","Interim housing","2","NA","Lived with unknown people after Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did the owner's family share living quarters with relatives or friends or with people they did not know?",17,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKPERM","20","Interim housing","2","NA","Living in permanent home",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Would you say that the owner is still in transition or is he/she now permanently settled in a home?",18,"Numeric","2009 New Orleans Only",". or -9: Not reported||1: In transition||2: In permanent home||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKRELFRD","20","Interim housing","2","NA","Lived with acquaintances after Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did the owner's family share living quarters with relatives or friends or with people they did not know?",19,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKSHAR1","20","Interim housing","2","NA","Lived in shared residence since Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Since Hurricane Katrina, did the owner's family share living quarters with others?",20,"Numeric","2009 New Orleans Only",". or -9: Not reported||1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKSHELTER","20","Interim housing","2","NA","Lived in public shelter due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a public shelter for more than two weeks as a result of Hurricane Katrina",21,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKTENT","20","Interim housing","2","NA","Lived in a tent or car due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a tent or car for more than two weeks as a result of Hurricane Katrina",22,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKTRAILER","20","Interim housing","2","NA","Lived in a travel trailer or RV due to Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Respondent lived in a travel trailer or RV for more than two weeks as a result of Hurricane Katrina",23,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"BUS","20","Public Transportation","3","JBUS","Flag indicating bus used for commute","PUBTRANS","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","Do you use any of the following as part of your commute?",1,"Character","2017","1: Uses public bus||2: Does not use public bus||M or -9: Not reported||N or -6: Not applicable"
"SUBWAY","20","Public Transportation","3","JSUBWAY","Flag indicating subway used for commute","PUBTRANS","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","Do you use any of the following as part of your commute?",2,"Character","2017","1: Uses subway, commuter rail, light rail, or trolley car||2: Does not use subway, commuter rail, light rail, or trolley car||M or -9: Not reported||N or -6: Not applicable"
"VAN","20","Public Transportation","3","JVAN","Flag indicating commuter van used for commute","PUBTRANS","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","COMDAYS in (1:7 .M) and COMPANYCAR <> '1'","None","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","Do you use any of the following as part of your commute?",3,"Character","2017","1: Uses commuter van or commuter bus||2: Does not use commuter van or commuter bus||M or -9: Not reported||N or -6: Not applicable"
"TAXI","20","Public Transportation","3","JTAXI","Amount of taxi expenses","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","(SUBWAY in ('2' 'M') and BUS in ('2' 'M') and VAN in ('2' 'M')) or SUBSIDY in ('2' '3' 'M')","Rounded/Topcoded","TAXI is determined using TAXI (In a typical week, do you use a Taxi, cab, or car service, such as Uber, Lyft, etc. as part of your commute?) and TAXIAMT (What is your weekly taxi or car service expense?). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",4,"Numeric","2017","0: Does not use taxi||1: Uses taxi at no cost||2 : 998: Uses taxi at cost: $2 to $998||M or -9: Not reported||N or -6: Not applicable"
"FERRY","20","Public Transportation","3","JFERRY","Amount of ferry expenses","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","TAXI in (0:998 .M)","Rounded/Topcoded","FERRY is determined using FERRY (In a typical week, do you use a ferry as part of your commute?) and FERRYAMT (What is your weekly ferry expense? ). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",5,"Numeric","2017","0: Does not use ferry||1: Uses ferry at no cost||2 : 998: Uses ferry at cost: $2 - $998||M or -9: Not reported||N or -6: Not applicable"
"SUBSIDY","20","Public Transportation","3","JSUBSIDY","Flag indicating transit subsidy","See User Notes","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","SUBWAY = '1' or BUS = '1' or VAN = '1'","None","SUBSIDY is determined using TRANSUB (Does your employer provide you a subsidy for your public transportation costs?) and SUBSIDY2 (Does that subsidy typically cover all your public transportation costs for commuting? ). This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","See User Notes",6,"Character","2017","1: Employer provides subsidy; covers all costs||2: Employer provides subsidy; does not cover all costs||3: Employer does not provide subsidy||M or -9: Not reported||N or -6: Not applicable"
"TRANAMT","20","Public Transportation","3","JTRANAMT","Amount of out-of-pocket expenses for public transportation","TRANAMT","Coming Soon","HOUSEHOLD","PUF","2017","Commuting","(SUBWAY = '1' or BUS = '1' or VAN = '1') and (SUBSIDY in ('2' '3' 'M'))","Rounded/Topcoded","This item is part of the Group 1 Topical modules; use SP1WEIGHT to create weighted estimates.","Thinking only about your weekly commuting costs, how much do you spend out-of-pocket each week on your public transportation cost?",7,"Numeric","2017","0 : 998: $0 to $998||M or -9: Not reported||N or -6: Not applicable"
"HKDAMG","20","Old unit","3","NA","Unit sustained Hurricane Katrina damage",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Did any damage occur to this property as a result of Hurricane Katrina?",8,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKDAMGY1","20","Old unit","3","NA","Unit razed/condemned due to Hurricane Katrina Damage",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Was the damage so severe that the home was leveled, condemned, or had to be demolished?",9,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKNORES","20","Old unit","3","NA","Living in New Orleans during Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Was the owner living in New Orleans metropolitan area in August 2005 at the time of Hurricane Katrina?",10,"Numeric","2009 New Orleans Only",". or -9: Not reported||1: Yes||2: No||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"WMHK","20","Old unit","3","NA","Moved because of Hurricane Katrina",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What are the reasons you moved from your last residence?",11,,"2009 New Orleans Only","B or -6: Not applicable||Blank or -9: Not reported||X: Moved because of Hurricane Katrina"
"XBATH","20","Old unit","3","NA","Number of bathrooms in previous unit",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"How many bathrooms were there in the owner's previous unit?",12,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:10: 0-10||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"XBEDRM","20","Old unit","3","NA","Number of bedrooms in previous unit",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"How many bedrooms were there in the owner's previous unit?",13,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:10: 0-10||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"XBUILT","20","Old unit","3","NA","Year previous home built",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What year was the owner's previous home built?",14,"Character","2009 New Orleans Only","0: 2000-present||1: 1995-1999||2: 1990-1994||3: 1985-1989||4: 1980-1984||5: 1975-1979||6: 1970-1974||7: 1960-1969||8: 1950-1959||9: 1940-1949||10: 1930-1939||11: 1920-1929||12: 1919 or earlier||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"XHALFB","20","Old unit","3","NA","Number of half bathrooms in previous unit",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"How many half bathrooms were there in the owner's previous unit?",15,"Numeric","2009 New Orleans Only",". or -9: Not reported||0:10: 0-10||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"XNOLA1","20","Old unit","3","NA","Previous residence in New Orleans",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Thinking back to where the owner lived in August 2005 before Hurricane Katrina, was the owner's previous residence in New Orleans City, that is Orleans Parish?",16,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"XNOLA2","20","Old unit","3","NA","Previous residence in New Orleans metro",,"Coming Soon","RMOV","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Was the owner's previous residence outside New Orleans City but within the New Orleans metropolitan area?",17,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKDAMCSM","20","Repair/rebuild","4","NA","Estimated construction start month",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated start date?",1,"Numeric","2009 New Orleans Only",". or -9: Not reported||1:12: January-December||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMCSY","20","Repair/rebuild","4","NA","Estimated construction start year",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the estimated start date?",2,"Numeric","2009 New Orleans Only",". or -9: Not reported||2005:2030: 2005-2030||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMGN1","20","Repair/rebuild","4","NA","Hurricane Katrina-related repairs done to unit",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"Have or will repairs be done to the home?",3,"Character","2009 New Orleans Only","1: Yes||2: No||B or -6: Not applicable||Blank or -9: Not reported||D or -7: Don't know||R or -8: Refused"
"HKDAMGNM","20","Repair/rebuild","4","NA","Estimated repair completion month",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What is or was the completion date?",4,"Numeric","2009 New Orleans Only",". or -9: Not reported||1:12: January-December||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
"HKDAMGNY","20","Repair/rebuild","4","NA","Estimated repair completion year",,"Coming Soon","NEWHOUSE","PUF","2009 New Orleans Only","New Orleans Variables",,,,"What was or is the completion date?",5,"Numeric","2009 New Orleans Only",". or -9: Not reported||2005:2030: 2005-2030||B or -6: Not applicable||D or -7: Don't know||R or -8: Refused"
